entity1,entity2,trigger_word,relation_type,sentences
citrobacter,extraintestinalinfections infections,cause,Cause-Effect,conclusions there was a diverse range of citrobacter isolates causing extraintestinal infections and a high prevalence of mdr . 
mycobacteriumtuberculosis tuberculosis,tuberculosistb tb,lead,Cause-Effect,"proline glutamic acid pe and proline proline glutamic acid ppe containing proteins are exclusive to mycobacterium tuberculosis mtb , the leading cause of tuberculosis tb . "
mycobacteriumtuberculosis tuberculosis,tuberculosistb tb,cause,Cause-Effect,"proline glutamic acid pe and proline proline glutamic acid ppe containing proteins are exclusive to mycobacterium tuberculosis mtb , the leading cause of tuberculosis tb . "
alistipes,hgmb1,correlate,Cause-Effect,alistipes were found to be positively correlated with hgmb1 . 
gastricmucosa mucosaassociated associatedlymphoma lymphomagml gml,helicobacterpylori pylori,relate,0,background aims gastric mucosa associated lymphoma gml is a mature b cell tumor related to helicobacter pylori h . 
matureb bcell celltumor tumor,helicobacterpylori pylori,relate,0,background aims gastric mucosa associated lymphoma gml is a mature b cell tumor related to helicobacter pylori h . 
fusobacteriumnucleatum nucleatum,"colorectal, ,esophageal esophagealand andbreast breastcancer cancer",reveal,0,"recent studies on the oral , anaerobic , gram negative bacterium fusobacterium nucleatum revealed its presence and involvement in colorectal , esophageal and breast cancer . "
mycobacteriumtuberculosis tuberculosis,echinococcosis,promote,Cause-Effect,mycobacterium tuberculosis mtb inhibits autophagy to promote its survival in host cells . 
enterococcusfaecalis faecalis,pneumonia,cause,Cause-Effect,enterococcus faecalis is a gram positive opportunistic pathogen that could cause pneumonia and bacteremia in stroke patients . 
enterococcusfaecalis faecalis,stroke,cause,Cause-Effect,enterococcus faecalis is a gram positive opportunistic pathogen that could cause pneumonia and bacteremia in stroke patients . 
streptococcus,inflammation,induce,Cause-Effect,this review discusses what is known about how the virulence factors of group a streptococcus induce inflammation and how this inflammation can promote disease . 
streptococcus,inflammation,induce,Cause-Effect,this review discusses what is known about how the virulence factors of group a streptococcus induce inflammation and how this inflammation can promote disease . 
hsp,streptococcus,relate,0,abdominal symptoms in hsp children were related to gut microbiota streptococcus and butyric acid producing bacteria . 
leptospira,engagementof oft t,result,Cause-Effect,"biflexa increased circulation of a few chemokines 5 21 , 24 without secretion of cytokines in blood that resulted in engagement of resident macrophages , dendritic cells , neutrophils and nk cells without engagement of t cells . "
wolbachia,arboviralinfection infection,decrease,Cause-Effect,considerable evidence demonstrates how the presence of wolbachia interferes with arboviruses by decreasing host cytoskeletal proteins and lipids essential for arboviral infection . 
wolbachia,arboviralinfection infection,decrease,Cause-Effect,considerable evidence demonstrates how the presence of wolbachia interferes with arboviruses by decreasing host cytoskeletal proteins and lipids essential for arboviral infection . 
wt,akkermansiamuciniphila muciniphila,result,Cause-Effect,the linear discriminant analysis effect size lefse results revealed that the abundances of akkermansia muciniphila and lactobacillus murinus were higher in wt male control mice than in wt female controls . 
wt,akkermansiamuciniphila muciniphila,reveal,0,the linear discriminant analysis effect size lefse results revealed that the abundances of akkermansia muciniphila and lactobacillus murinus were higher in wt male control mice than in wt female controls . 
wt,lactobacillusmurinus murinus,result,Cause-Effect,the linear discriminant analysis effect size lefse results revealed that the abundances of akkermansia muciniphila and lactobacillus murinus were higher in wt male control mice than in wt female controls . 
wt,lactobacillusmurinus murinus,reveal,0,the linear discriminant analysis effect size lefse results revealed that the abundances of akkermansia muciniphila and lactobacillus murinus were higher in wt male control mice than in wt female controls . 
tuberculosistb tb,mycobacteriumtuberculosis tuberculosis,cause,Cause-Effect,"tuberculosis tb , caused by mycobacterium tuberculosis mtb remains a major public health problem worldwide due in part to the lack of an effective vaccine and to the lengthy course of antibiotic treatment required for successful cure . "
klebsiellapneumoniae pneumoniae,systemicinfections infections,cause,Cause-Effect,capsular polysaccharides enable clinically important clones of klebsiella pneumoniae to cause severe systemic infections in susceptible hosts . 
brucella,chronicinfections infections,cause,Cause-Effect,"brucella , a notorious intracellular pathogen , causes chronic infections in many mammals , including humans . "
clostridioidesdifficile difficile,severeand andeven evenlife lifethreatening threateningcolitis colitis,cause,Cause-Effect,clostridioides difficile causes nosocomial outbreaks which can lead to severe and even life threatening colitis . 
clostridioidesdifficile difficile,severeand andeven evenlife lifethreatening threateningcolitis colitis,lead,Cause-Effect,clostridioides difficile causes nosocomial outbreaks which can lead to severe and even life threatening colitis . 
treponemadenticola denticola,alveolarbone boneloss loss,contribute,Cause-Effect,"the oral spirochete treponema denticola is a keystone periodontal pathogen that , in association with members of a complex polymicrobial oral biofilm , contributes to tissue damage and alveolar bone loss in periodontal disease . "
treponemadenticola denticola,periodontaldisease disease,contribute,Cause-Effect,"the oral spirochete treponema denticola is a keystone periodontal pathogen that , in association with members of a complex polymicrobial oral biofilm , contributes to tissue damage and alveolar bone loss in periodontal disease . "
hiv,faecalibacterium,show,Cause-Effect,"hiv showed reduction in varieties of bacteria including faecalibacterium , the most abundant in seronegative controls , but enrichment of proteobacteria . "
prevotella,hiv,show,Cause-Effect,"furthermore , hiv in our cohort exhibited a depletion of prevotella , a genus whose enrichment has recently been shown in men having sex with men msm regardless of hiv 1 status . "
vibrioparahaemolyticus parahaemolyticus,toxoplasmosis,cause,Cause-Effect,"vibrio parahaemolyticus is a common pathogenic marine bacterium that causes gastrointestinal infections and other health complications , which could be life threatening to immunocompromised patients . "
vibrioparahaemolyticus parahaemolyticus,gastrointestinalinfections infections,cause,Cause-Effect,"vibrio parahaemolyticus is a common pathogenic marine bacterium that causes gastrointestinal infections and other health complications , which could be life threatening to immunocompromised patients . "
vibrioparahaemolyticus parahaemolyticus,immunocompromised,cause,Cause-Effect,"vibrio parahaemolyticus is a common pathogenic marine bacterium that causes gastrointestinal infections and other health complications , which could be life threatening to immunocompromised patients . "
streptococcus,seriousinfections infections,lead,Cause-Effect,background group b streptococcus gbs is a leading cause of serious infections in infants . 
streptococcus,seriousinfections infections,cause,Cause-Effect,background group b streptococcus gbs is a leading cause of serious infections in infants . 
borrelia,neuroborreliosis,cause,Cause-Effect,burgdorferi can cause a variety of clinical manifestations including lyme neuroborreliosis . 
staphylococcus,arthritis,cause,Cause-Effect,"hyicus , as the main pathogen of exudative epidermitis ee in piglet , can cause a wide variety of diseases , ranging from bovine mastitis , chicken arthritis and even human sepsis , which has brought serious threats to animals and human . "
advancedsystematic systematiclupus lupuserythematosus erythematosussle sle,desulfovibrio,need,Component-Whole,"as treatment options in advanced systematic lupus erythematosus sle are limited , there is an urgent need for new and effective therapeutic alternatives for selected cases with severe disease . "
barnesiella,inflammation,relate,0,"spearman's correlation analysis revealed that the genera barnesiella , coprobacter , lachnospiraceae , faecalibacterium , bacteroides , odoriacter , and parabacteroides were related to inflammation and intestinal integrity . "
coprobacter,inflammation,relate,0,"spearman's correlation analysis revealed that the genera barnesiella , coprobacter , lachnospiraceae , faecalibacterium , bacteroides , odoriacter , and parabacteroides were related to inflammation and intestinal integrity . "
faecalibacterium,inflammation,relate,0,"spearman's correlation analysis revealed that the genera barnesiella , coprobacter , lachnospiraceae , faecalibacterium , bacteroides , odoriacter , and parabacteroides were related to inflammation and intestinal integrity . "
bacteroides,inflammation,relate,0,"spearman's correlation analysis revealed that the genera barnesiella , coprobacter , lachnospiraceae , faecalibacterium , bacteroides , odoriacter , and parabacteroides were related to inflammation and intestinal integrity . "
parabacteroides,inflammation,relate,0,"spearman's correlation analysis revealed that the genera barnesiella , coprobacter , lachnospiraceae , faecalibacterium , bacteroides , odoriacter , and parabacteroides were related to inflammation and intestinal integrity . "
coxiellaburnetii burnetii,qfever fever,cause,Cause-Effect,"q vax , a whole cell , formalin inactivated vaccine , is the only vaccine licensed for human use to protect against coxiella burnetii , the cause of q fever . "
butylatedstarch's starch'sneurological neurological,odoribacter,derive,Cause-Effect,"the butylated starch's neurological and immunological benefits may be derived from the gut microbiome modifications , including normalizing the abundance of certain beneficial microbes odoribacter and oscillibacter and metabolomic pathways tryptophan synthesis and inositol degradation . "
butylatedstarch's starch'sneurological neurological,oscillibacter,derive,Cause-Effect,"the butylated starch's neurological and immunological benefits may be derived from the gut microbiome modifications , including normalizing the abundance of certain beneficial microbes odoribacter and oscillibacter and metabolomic pathways tryptophan synthesis and inositol degradation . "
escherichiacoli coli,t,cause,Cause-Effect,escherichia coli is one of the most important pathogens that cause clinical mastitis in dairy cattle worldwide and lead to severe economic losses . 
escherichiacoli coli,t,lead,Cause-Effect,escherichia coli is one of the most important pathogens that cause clinical mastitis in dairy cattle worldwide and lead to severe economic losses . 
gastriccd4 cd4t t,helicobacterpylori pylori,contribute,Cause-Effect,gastric cd4 t cells contribute to helicobacter pylori h . 
inflammation,escherichiacoli coli,show,Cause-Effect,"here we show that , in neutrophils , increases in na high salt , hs impair the ability of human and murine neutrophils to eliminate escherichia coli and staphylococcus aureus . "
inflammation,staphylococcusaureus aureus,show,Cause-Effect,"here we show that , in neutrophils , increases in na high salt , hs impair the ability of human and murine neutrophils to eliminate escherichia coli and staphylococcus aureus . "
mycobacteriumsmegmatis smegmatis,rv0927cattenuated attenuatednf nfb b,show,Cause-Effect,western blot analysis of macrophages infected with recombinant mycobacterium smegmatis strains showed that rv0927c attenuated nf b activation by downregulating the phosphorylation of i b . 
staphylococcusaureus aureus,skininfections infections,lead,Cause-Effect,"overall , the antimicrobial genes identified in lcs encode proteins with broad antibacterial activity , including against staphylococcus aureus , which is the leading cause of skin infections . "
staphylococcusaureus aureus,skininfections infections,cause,Cause-Effect,"overall , the antimicrobial genes identified in lcs encode proteins with broad antibacterial activity , including against staphylococcus aureus , which is the leading cause of skin infections . "
salmonella,represstumor tumor,show,Cause-Effect,"the engineered obligate anaerobic salmonella typhimurium strain yb1 shows a prominent ability to repress tumor growth and metastasis , which has great potential as a novel cancer immunotherapy . "
salmonella,cancer,show,Cause-Effect,"the engineered obligate anaerobic salmonella typhimurium strain yb1 shows a prominent ability to repress tumor growth and metastasis , which has great potential as a novel cancer immunotherapy . "
mycobacteriumtuberculosis tuberculosis,infectiousdisease disease,lead,Cause-Effect,"tuberculosis tb , caused by mycobacterium tuberculosis mtb , remains a leading infectious disease killer worldwide with 1 . "
vaccine,salmonella,induce,Cause-Effect,"the radiation inactivated sg vaccine r sg induced production of significantly higher levels of igg2b and igg3 antibodies than the formalin inactivated vaccine f sg , and provided a homogeneous functional antibody response against group d , but not group b salmonella . "
vaccine,salmonella,provide,Cause-Effect,"the radiation inactivated sg vaccine r sg induced production of significantly higher levels of igg2b and igg3 antibodies than the formalin inactivated vaccine f sg , and provided a homogeneous functional antibody response against group d , but not group b salmonella . "
streptococcuspneumoniae pneumoniae,"otitismedia media, ,pneumonia pneumonia, ,meningitis meningitis",cause,Cause-Effect,"background development of vaccines to prevent disease and death from streptococcus pneumoniae , and nontypeable haemophilus influenzae nthi , the main pathogens that cause otitis media , pneumonia , meningitis and sepsis , are a global priority . "
haemophilusinfluenzae influenzae,"otitismedia media, ,pneumonia pneumonia, ,meningitis meningitis",cause,Cause-Effect,"background development of vaccines to prevent disease and death from streptococcus pneumoniae , and nontypeable haemophilus influenzae nthi , the main pathogens that cause otitis media , pneumonia , meningitis and sepsis , are a global priority . "
mycobacteriumtuberculosis tuberculosis,allergicasthma asthma,prevent,Cause-Effect,"we demonstrated that natural infection with mycobacterium tuberculosis mtb prevents the development of allergic asthma , thus bacille calmette gu rin bcg vaccine is suggested at early age to mediate the same prevention particularly with increasing its efficiency through genetic engineering based modifications . "
bacillusanthracis anthracis,edema,produce,Product-Producer,"bacillus anthracis edema toxin et produces striking edema in peripheral tissues , but the cellular mechanisms involved in tissue swelling are not completely understood . "
borrelia,lymedisease disease,cause,Cause-Effect,"to evaluate the importance of daa in pathogen mediated balancing selection , we surveyed allelic polymorphism of mhc class ii dqb genes in wild bank voles myodes glareolus and tested for associations between dqb haplotypes and infection by borrelia afzelii , a tick transmitted bacterium causing lyme disease in humans . "
communicablediseases diseases,mycobacteriumtuberculosis tuberculosis,cause,Cause-Effect,"tuberculosis tb is one of the communicable diseases caused by mycobacterium tuberculosis mtb infection , affecting nearly one third of the world's population . "
cecs,bordetellapertussis pertussis,become,Entity-Origin,"as proof of concept , we found that anemic female mice and mice adoptively transferred with cecs from anemic mice became more susceptible to bordetella pertussis infection . "
zoonoticdisease disease,mycobacteriumbovis bovis,cause,Cause-Effect,bovine tuberculosis is an important animal and zoonotic disease caused by mycobacterium bovis . 
klebsiella,hemophagocyticlymphohistiocytosis lymphohistiocytosis,induce,Cause-Effect,"based on the patient's initial condition of multi organ function impairment and increased serum ferritin , and after a series of examinations , the patient was diagnosed with klebsiella pneumonia induced hemophagocytic lymphohistiocytosis hlh . "
clostridioidesdifficile difficile,nosocomialinfectious infectiousdiarrhea diarrhea,lead,Cause-Effect,background clostridioides difficile is the leading cause of nosocomial infectious diarrhea . 
clostridioidesdifficile difficile,nosocomialinfectious infectiousdiarrhea diarrhea,cause,Cause-Effect,background clostridioides difficile is the leading cause of nosocomial infectious diarrhea . 
invasivepneumococcal pneumococcaldisease disease,streptococcuspneumoniae pneumoniae,cause,Cause-Effect,"001 and invasive pneumococcal disease ipd caused by 5 streptococcus pneumoniae spn serotypes spn5 , spn6b , spn9v , spn19a , spn23f , and higher seroprotection rates against haemophilus influenzae type b short term and long term seroprotection rates , 86 471 547 vs 76 188 247 and 62 337 547 vs 49 121 247 , respectively , all p 0 . "
invasivepneumococcal pneumococcaldisease disease,haemophilusinfluenzae influenzae,cause,Cause-Effect,"001 and invasive pneumococcal disease ipd caused by 5 streptococcus pneumoniae spn serotypes spn5 , spn6b , spn9v , spn19a , spn23f , and higher seroprotection rates against haemophilus influenzae type b short term and long term seroprotection rates , 86 471 547 vs 76 188 247 and 62 337 547 vs 49 121 247 , respectively , all p 0 . "
mycobacteriumtuberculosis tuberculosis,infectiousdiseases diseases,lead,Cause-Effect,"with an estimated 25 of the global population infected with mycobacterium tuberculosis mtb , tuberculosis tb remains a leading cause of death by infectious diseases . "
mycobacteriumtuberculosis tuberculosis,infectiousdiseases diseases,cause,Cause-Effect,"with an estimated 25 of the global population infected with mycobacterium tuberculosis mtb , tuberculosis tb remains a leading cause of death by infectious diseases . "
staphylococcusaureus aureus,skinand andsoft softtissue tissueinfections infections,cause,Cause-Effect,"one of these pathogens is methicillin resistant staphylococcus aureus mrsa , a major cause of skin and soft tissue infections . "
alcaligenes,folliculart t,induce,Cause-Effect,"nasal immunization with ovalbumin ova plus alcaligenes lps induced follicular t helper cells and germinal center formation in the nasopharynx associated lymphoid tissue nalt and cervical lymph nodes clns , and consequently enhanced ova specific iga and igg responses in the respiratory tract and serum . "
alcaligenes,folliculart t,induce,Cause-Effect,"nasal immunization with ovalbumin ova plus alcaligenes lps induced follicular t helper cells and germinal center formation in the nasopharynx associated lymphoid tissue nalt and cervical lymph nodes clns , and consequently enhanced ova specific iga and igg responses in the respiratory tract and serum . "
alcaligenes,lymphoidtissue tissuenalt nalt,induce,Cause-Effect,"nasal immunization with ovalbumin ova plus alcaligenes lps induced follicular t helper cells and germinal center formation in the nasopharynx associated lymphoid tissue nalt and cervical lymph nodes clns , and consequently enhanced ova specific iga and igg responses in the respiratory tract and serum . "
alcaligenes,lymphoidtissue tissuenalt nalt,induce,Cause-Effect,"nasal immunization with ovalbumin ova plus alcaligenes lps induced follicular t helper cells and germinal center formation in the nasopharynx associated lymphoid tissue nalt and cervical lymph nodes clns , and consequently enhanced ova specific iga and igg responses in the respiratory tract and serum . "
mycobacteriumleprae leprae,l. .,cause,Cause-Effect,"lactis strain , which produces and secretes hsp65 from mycobacterium leprae directly into the gut , mitigated the effects of inflammation caused by l . "
pseudomonasaeruginosa aeruginosa,hospitalacquired acquiredwound woundinfection infection,cause,Cause-Effect,pseudomonas aeruginosa is a frequent cause of hospital acquired wound infection and is difficult to treat because it forms biofilms and displays antibiotic resistance . 
chronicgastritis gastritis,helicobacterpylori pylori,cause,Cause-Effect,chronic gastritis caused by helicobacter pylori h . 
bordetellapertussis pertussis,mucosalimmunity immunity. .,require,Entity-Origin,"optimal protection against bordetella pertussis , the causative agent of pertussis , likely requires mucosal immunity . "
porphyromonasgingivalis gingivalis,alzheimer'sdisease disease,cause,Cause-Effect,"porphyromonas gingivalis , a bacterium associated with periodontal disease , is a suspected cause of alzheimer's disease . "
periodontitis,corynebacteriumdurum durum,reveal,0,"comparing individual correlated lipid mediators and bacterial species in periodontitis before treatment to healthy controls revealed that one bacterial species , corynebacterium durum , and five lipid mediators , 5 s 6 r dihete , 15 s hepe , 7 hdha , 13 hdha and 14 hdha , were identified in both conditions . "
periodontitis,anaeroglobusgeminatus geminatus,reveal,0,"comparing individual correlated lipid mediators and bacterial species in periodontitis before treatment to after treatment revealed that one bacterial species , anaeroglobus geminatus , and four lipid mediators , 5 s 12 s dihete , rvd1 , maresin 1 and ltb4 , were identified in both conditions . "
selenomonas,periodontitis,correlate,Cause-Effect,"four selenomonas species were highly correlated with rvd1 , rve3 , 5 s 12 s dihete and proinflammatory mediators in the periodontitis after treatment group . "
malaria,salmonella,need,Component-Whole,further studies are needed to explore if the suggested impaired innate immune response to bacterial pathogens also translates into impaired control of pathogens such as salmonella spp . 
brucella,s2308,relate,0,"several proteins related to cell division were significantly downregulated , while some proteins involved in transcription were upregulated in s2308 . "
streptococcus,sepsisor ormeningitis meningitis,cause,Cause-Effect,"group b streptococcus gbs is a common intestinal colonizer during the neonatal period , but also may cause late onset sepsis or meningitis in up to 0 . "
fusobacteriumnucleatum nucleatum,cancer,promote,Cause-Effect,fusobacterium nucleatum fn has been considered as a significant contributor in promoting colorectal carcinoma crc development by suppressing host anti tumor immunity . 
fusobacteriumnucleatum nucleatum,colorectalcarcinoma carcinoma,promote,Cause-Effect,fusobacterium nucleatum fn has been considered as a significant contributor in promoting colorectal carcinoma crc development by suppressing host anti tumor immunity . 
fusobacteriumnucleatum nucleatum,tumor,promote,Cause-Effect,fusobacterium nucleatum fn has been considered as a significant contributor in promoting colorectal carcinoma crc development by suppressing host anti tumor immunity . 
chlamydia,woundhealing healingdelays delays,cause,Cause-Effect,"as a result , chlamydia persists and causes wound healing delays , leading to more severe tissue damage and triggering long lasting fibrotic sequelae . "
arthritis,staphylococcusepidermidis epidermidis,induce,Cause-Effect,"methods c57bl 6j mice were treated with collagen arthritis inducing agent , ebv dna 6 days before collagen , ebv dna 15 days after collagen , staphylococcus epidermidis dna 6 days before collagen , ebv dna alone , or water . "
bacilluscereus cereus,diarrhealand andemetic emeticfoodborne foodbornediseases diseases,produce,Product-Producer,bacillus cereus is a well characterized human pathogen that produces toxins associated with diarrheal and emetic foodborne diseases . 
mycoplasmahyopneumoniae hyopneumoniae,enzooticpneumonia pneumonia,cause,Cause-Effect,"mycoplasma hyopneumoniae mhp is the main pathogen that causes enzootic pneumonia , a disease that has a significant impact on the pig industry worldwide . "
streptococcusmutans mutans,caries,lead,Cause-Effect,streptococcus mutans is the leading member of a specific group of cariogenic bacteria that cause dental caries . 
streptococcusmutans mutans,caries,cause,Cause-Effect,streptococcus mutans is the leading member of a specific group of cariogenic bacteria that cause dental caries . 
oenococcusoeni oeni,aroma,improve,Cause-Effect,"oenococcus oeni in biofilm lifestyle seems to be a suitable tool to improve malolactic fermentation outcome , and to contribute to wine aroma . "
oenococcusoeni oeni,aroma,contribute,Cause-Effect,"oenococcus oeni in biofilm lifestyle seems to be a suitable tool to improve malolactic fermentation outcome , and to contribute to wine aroma . "
escherichiacoli coli,acuteor orperacute peracutedisease disease,cause,Cause-Effect,"escherichia coli is a common bacterium in the intestines of animals , and it is also the major important cause of toxic mastitis , which is an acute or peracute disease that causes a higher incidence of death and culling of cattle . "
bacterialsymbionts symbiontsof ofthe thedarkling darklingbeetle beetlelagria lagriavillosa villosa,burkholderia,belong,Content-Container,"here , we focus on two bacterial symbionts of the darkling beetle lagria villosa that belong to the genus burkholderia the culturable strain b . "
riemerellaanatipestifer anatipestifer,seriouscontagious contagiousdisease disease,cause,Cause-Effect,"riemerella anatipestifer causes serious contagious disease in ducks , geese , and other fowl . "
clostridioidesdifficile difficile,nosocomialinfection infection,cause,Cause-Effect,clostridioides difficile is a major cause of nosocomial infection worldwide causing antibiotic associated diarrhea and some cases are leading to pseudomembranous colitis . 
clostridioidesdifficile difficile,diarrhea,cause,Cause-Effect,clostridioides difficile is a major cause of nosocomial infection worldwide causing antibiotic associated diarrhea and some cases are leading to pseudomembranous colitis . 
clostridioidesdifficile difficile,diarrhea,cause,Cause-Effect,clostridioides difficile is a major cause of nosocomial infection worldwide causing antibiotic associated diarrhea and some cases are leading to pseudomembranous colitis . 
clostridioidesdifficile difficile,pseudomembranouscolitis colitis,cause,Cause-Effect,clostridioides difficile is a major cause of nosocomial infection worldwide causing antibiotic associated diarrhea and some cases are leading to pseudomembranous colitis . 
clostridioidesdifficile difficile,pseudomembranouscolitis colitis,cause,Cause-Effect,clostridioides difficile is a major cause of nosocomial infection worldwide causing antibiotic associated diarrhea and some cases are leading to pseudomembranous colitis . 
clostridioidesdifficile difficile,pseudomembranouscolitis colitis,lead,Cause-Effect,clostridioides difficile is a major cause of nosocomial infection worldwide causing antibiotic associated diarrhea and some cases are leading to pseudomembranous colitis . 
staphylococcusaureus aureus,cdt,cause,Cause-Effect,"staphylococcus aureus causes various infections in humans and animals , the skin being the principal reservoir of this pathogen . "
mosquitoand andmicrobiome microbiomemetabolism metabolism,wolbachia,influence,Cause-Effect,"these results suggest that heat and further inactivation of complement proteins in human serum may have profound effect on mosquito and microbiome metabolism , which could influence interpretation of the pathogen host interaction findings when using this type of reagents specially when measuring the effect of wolbachia in vector competence . "
chronicrespiratory respiratoryinfectious infectiousdiseases diseases,mycoplasmagallisepticum gallisepticum,cause,Cause-Effect,the aim of this study was to explore the prudent use of tylosin for the treatment of chronic respiratory infectious diseases in chickens caused by mycoplasma gallisepticum mg based on its clinical breakpoint cbp and its effect on lung microbiota . 
chickens,mycoplasmagallisepticum gallisepticum,cause,Cause-Effect,the aim of this study was to explore the prudent use of tylosin for the treatment of chronic respiratory infectious diseases in chickens caused by mycoplasma gallisepticum mg based on its clinical breakpoint cbp and its effect on lung microbiota . 
intracranialinfection infection,escherichiacoli coli,cause,Cause-Effect,intracranial infection caused by escherichia coli coharboring bla ndm 5 and bla ctx m 65 is rare and fatal . 
clostridiumperfringens perfringens,diarrhea,cause,Cause-Effect,"clostridium perfringens causes a variety of human and animal enteric diseases including food poisoning , antibiotic associated diarrhea , and necrotic enteritis . "
clostridium,lacitype typetfs tfs,result,Cause-Effect,"our results led to the discovery of novel , uncharacterized tfs as well as homologues of previously studied tfs including rexa , lexa , and laci type tfs . "
clostridium,lacitype typetfs tfs,lead,Cause-Effect,"our results led to the discovery of novel , uncharacterized tfs as well as homologues of previously studied tfs including rexa , lexa , and laci type tfs . "
escherichiacoli coli,novs,cause,Cause-Effect,enterotoxigenic escherichia coli etec is the primary aetiologic agent of traveller's diarrhoea and a significant cause of diarrhoeal disease and death in developing countries . 
escherichiacoli coli,diarrhoealdisease disease,cause,Cause-Effect,enterotoxigenic escherichia coli etec is the primary aetiologic agent of traveller's diarrhoea and a significant cause of diarrhoeal disease and death in developing countries . 
mycobacteriumtuberculosis tuberculosis,lungdisease disease,cause,Cause-Effect,"these include members of the mycobacterium tuberculosis complex , which causes the lung disease tuberculosis tb as well as non tuberculous mycobacteria ntm a growing cause of lung , skin , soft tissue , and other infections . "
mycobacteriumtuberculosis tuberculosis,"softtissue tissue, ,",cause,Cause-Effect,"these include members of the mycobacterium tuberculosis complex , which causes the lung disease tuberculosis tb as well as non tuberculous mycobacteria ntm a growing cause of lung , skin , soft tissue , and other infections . "
mycobacteriumtuberculosis tuberculosis,"softtissue tissue, ,",cause,Cause-Effect,"these include members of the mycobacterium tuberculosis complex , which causes the lung disease tuberculosis tb as well as non tuberculous mycobacteria ntm a growing cause of lung , skin , soft tissue , and other infections . "
tobaccowilt wiltdisease disease,ralstoniasolanacearum solanacearum,cause,Cause-Effect,"in this study , the fungal communities from soil to endophytic compartments were surveyed during an outbreak of tobacco wilt disease caused by ralstonia solanacearum . "
obese,alistipes,decrease,Cause-Effect,"in group a normal or obese mice supplemented with astaxanthin , the abundance of acinetobacter was decreased , and alistipes was increased by astaxanthin , which also occurred in the ma group obese mice supplemented with astaxanthin . "
staphylococcusaureus aureus,nosocomialinfection infection,contribute,Cause-Effect,biofilms formed by methicillin resistant staphylococcus aureus mrsa are one of the contributing factors to recurrent nosocomial infection in humans . 
staphylococcusaureus aureus,nosocomialinfections infections,cause,Cause-Effect,"since the 1960s , the frequency of methicillin resistant staphylococcus aureus as a recurrent cause of nosocomial infections has increased . "
infections,acinetobacter,cause,Cause-Effect,"colistin is frequently a last resort treatment for pseudomonas aeruginosa infections caused by multidrug resistant mdr and extensively drug resistant xdr strains , and detection of colistin resistance is essential for the management of infected patients . "
pseudomonasaeruginosa aeruginosa,xdr,cause,Cause-Effect,"colistin is frequently a last resort treatment for pseudomonas aeruginosa infections caused by multidrug resistant mdr and extensively drug resistant xdr strains , and detection of colistin resistance is essential for the management of infected patients . "
brachyspirahyodysenteriae hyodysenteriae,dysentery,cause,Cause-Effect,"brachyspira hyodysenteriae is the principal cause of swine dysentery , a disease that threatens economic productivity of pigs in many countries as it can spread readily within and between farms , and only a small number of antimicrobials are authorized for treatment of pigs . "
brachyspirahyodysenteriae hyodysenteriae,threatenseconomic economicproductivity productivityof ofpigs pigs,cause,Cause-Effect,"brachyspira hyodysenteriae is the principal cause of swine dysentery , a disease that threatens economic productivity of pigs in many countries as it can spread readily within and between farms , and only a small number of antimicrobials are authorized for treatment of pigs . "
listeriamonocytogenes monocytogenes,listeriosis,cause,Cause-Effect,listeria monocytogenes is a ubiquitous foodborne pathogen that causes listeriosis and is mostly linked to consumption of ready to eat rte foods . 
dm,methylobacterium,decrease,Cause-Effect,"meanwhile , bacterial community of stylo silage was altered , where the relative abundance of enterobacter , clostridium , and kosakonia decreased and that of commensalibacter and methylobacterium increased . "
mycobacteriumkansasii kansasii,pulmonarydisease disease,cause,Cause-Effect,"among non tuberculous mycobacteria , mycobacterium kansasii is one of the most pathogenic , able to cause pulmonary disease indistinguishable from tuberculosis in immunocompetent susceptible adults . "
tb,streptococcus,reveal,0,"compositional data analysis of taxonomic profiles based on 16s rrna gene amplicon sequencing and on whole metagenome shotgun sequencing , and graph based inference of microbial associations revealed that the airway microbiome of tb patients was shaped by inverse relationships between streptococcus and two anaerobes selenomonas and fusobacterium . "
tb,selenomonas,reveal,0,"compositional data analysis of taxonomic profiles based on 16s rrna gene amplicon sequencing and on whole metagenome shotgun sequencing , and graph based inference of microbial associations revealed that the airway microbiome of tb patients was shaped by inverse relationships between streptococcus and two anaerobes selenomonas and fusobacterium . "
tb,fusobacterium,reveal,0,"compositional data analysis of taxonomic profiles based on 16s rrna gene amplicon sequencing and on whole metagenome shotgun sequencing , and graph based inference of microbial associations revealed that the airway microbiome of tb patients was shaped by inverse relationships between streptococcus and two anaerobes selenomonas and fusobacterium . "
selenomonas,tb,result,Cause-Effect,"given the anaerobic metabolism of selenomonas and fusobacterium , and the hypoxic environment of lung infiltrates , our results suggest that in underweight tb patients , lung tissue remodeling toward anaerobic conditions favors the growth of selenomonas and fusobacterium at the expense of streptococcus . "
fusobacterium,tb,result,Cause-Effect,"given the anaerobic metabolism of selenomonas and fusobacterium , and the hypoxic environment of lung infiltrates , our results suggest that in underweight tb patients , lung tissue remodeling toward anaerobic conditions favors the growth of selenomonas and fusobacterium at the expense of streptococcus . "
selenomonas,anaerobicconditions conditions,result,Cause-Effect,"given the anaerobic metabolism of selenomonas and fusobacterium , and the hypoxic environment of lung infiltrates , our results suggest that in underweight tb patients , lung tissue remodeling toward anaerobic conditions favors the growth of selenomonas and fusobacterium at the expense of streptococcus . "
